evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5
20071016_2105,-25.700,179.720,512.400,4F.RODGA.,64.985,-16.886,139.298,1645.993,1673.464,1682.018,0.000,1.005,0.161,0.096,0.091,0.089,0.089,-1.200,-3.700,0.829,-0.894,-11.900,0.610,0.610,7.500,0.286,0.610,-9.600,0.277,0.610,-9.700,0.312,0.610,7.500,0.274,0.610
20071016_2105,-25.700,179.720,512.400,YL.ALOR.01,41.301,32.870,148.537,1699.041,1735.916,1747.765,1.000,4.402,0.447,0.478,0.538,0.523,0.501,1.200,-2.000,0.793,-0.518,1.600,0.749,0.749,1.400,0.764,0.749,1.000,0.756,0.749,1.000,0.749,0.749,1.200,0.755,0.749
20071016_2105,-25.700,179.720,512.400,NO.NC303.00,61.225,11.369,143.603,1671.063,1702.748,1712.758,2.000,3.627,0.257,0.292,0.330,0.325,0.328,2.700,2.700,0.797,0.834,2.400,0.618,0.618,2.100,0.646,0.618,1.700,0.645,0.618,1.700,0.640,0.618,1.700,0.642,0.618
20071016_2105,-25.700,179.720,512.400,II.KIV.10,43.955,42.686,140.866,1655.193,1684.163,1693.231,3.000,9.791,0.751,0.731,0.747,0.743,0.739,0.600,0.800,0.982,0.975,0.300,0.960,0.960,0.300,0.954,0.960,-0.300,0.958,0.960,-0.200,0.948,0.960,0.000,0.950,0.960
20071016_2105,-25.700,179.720,512.400,NE.HNH.,43.705,-72.286,120.057,1526.601,1538.996,1542.670,4.000,3.824,0.383,0.355,0.359,0.370,0.362,0.300,0.300,0.571,0.678,0.100,0.791,0.791,-0.100,0.816,0.791,-0.500,0.777,0.791,-0.100,0.804,0.791,-0.100,0.810,0.791
20071016_2105,-25.700,179.720,512.400,NE.EMMW.,44.710,-67.458,123.605,1549.523,1564.218,1568.594,5.000,5.867,0.561,0.487,0.474,0.475,0.480,0.300,0.400,0.781,0.702,-0.100,0.862,0.862,0.100,0.732,0.862,-0.100,0.752,0.862,0.000,0.727,0.862,0.000,0.728,0.862
20071016_2105,-25.700,179.720,512.400,7E.PG41.,50.751,17.333,151.547,1715.724,1755.926,1768.992,6.000,6.702,0.535,0.538,0.571,0.575,0.583,1.500,1.600,0.798,0.853,1.100,0.924,0.924,0.600,0.899,0.924,0.300,0.893,0.924,0.100,0.893,0.924,0.200,0.897,0.924
20071016_2105,-25.700,179.720,512.400,7E.PG43.,51.472,18.724,150.452,1709.687,1748.663,1761.278,7.000,3.331,0.346,0.417,0.511,0.509,0.494,1.900,2.000,0.929,0.948,1.600,0.853,0.853,1.500,0.860,0.853,1.100,0.861,0.853,1.000,0.868,0.853,1.100,0.865,0.853
20071016_2105,-25.700,179.720,512.400,CH.MUO.,46.968,8.637,157.588,1748.319,1795.592,1811.308,8.000,6.030,0.381,0.397,0.428,0.451,0.433,2.600,2.600,0.926,0.944,2.500,0.913,0.913,2.200,0.896,0.913,2.000,0.898,0.913,1.800,0.903,0.913,1.900,0.898,0.913
20071016_2105,-25.700,179.720,512.400,6C.SYRA.,37.402,24.893,155.677,1738.130,1783.112,1797.967,9.000,8.088,0.665,0.619,0.666,0.665,0.654,0.400,0.400,0.928,0.925,0.300,0.914,0.914,0.600,0.903,0.914,-0.200,0.903,0.914,-0.200,0.900,0.914,0.100,0.897,0.914
20071016_2105,-25.700,179.720,512.400,CH.LIENZ.,47.294,9.492,157.065,1745.542,1792.182,1807.661,10.000,6.934,0.483,0.495,0.523,0.532,0.527,1.500,2.000,0.934,0.827,1.200,0.803,0.803,0.900,0.793,0.803,0.700,0.805,0.803,0.500,0.812,0.803,0.500,0.806,0.803
20071016_2105,-25.700,179.720,512.400,NL.OPLO.,51.589,5.812,153.699,1727.471,1770.135,1784.118,11.000,1.398,0.315,0.242,0.221,0.219,0.220,1.500,1.100,0.786,0.665,1.100,0.831,0.831,-0.200,0.815,0.831,-0.400,0.803,0.831,-0.400,0.810,0.831,-0.500,0.812,0.831
20071016_2105,-25.700,179.720,512.400,7E.PB44.,51.689,15.818,151.280,1714.256,1754.157,1767.112,12.000,5.253,0.361,0.377,0.420,0.399,0.408,1.200,1.600,0.784,0.758,0.800,0.688,0.688,0.500,0.705,0.688,0.200,0.730,0.688,0.100,0.739,0.688,0.100,0.734,0.688
20071016_2105,-25.700,179.720,512.400,RO.TIM.,45.736,21.221,153.600,1726.930,1769.478,1783.418,13.000,4.208,0.396,0.397,0.379,0.395,0.394,2.400,2.600,0.694,0.721,2.800,0.557,0.557,2.000,0.531,0.557,1.700,0.543,0.557,1.400,0.552,0.557,1.600,0.539,0.557
20071016_2105,-25.700,179.720,512.400,XS.S042.01,38.047,23.864,156.177,1740.806,1786.382,1801.460,14.000,4.715,0.635,0.605,0.652,0.643,0.631,0.800,1.100,0.937,0.912,1.200,0.918,0.918,0.800,0.934,0.918,0.500,0.930,0.918,0.500,0.927,0.918,0.600,0.929,0.918
20071016_2105,-25.700,179.720,512.400,CH.MMK.,46.051,7.964,158.610,1753.721,1802.241,1818.428,15.000,4.568,0.447,0.512,0.523,0.512,0.514,0.600,0.700,0.930,0.938,0.100,0.845,0.845,-0.200,0.821,0.845,-0.400,0.829,0.845,-0.700,0.840,0.845,-0.600,0.832,0.845
20071016_2105,-25.700,179.720,512.400,OE.MOA.,47.849,14.266,155.070,1734.869,1779.134,1793.719,16.000,11.196,0.697,0.718,0.734,0.732,0.731,1.300,1.300,0.866,0.854,0.700,0.831,0.831,0.300,0.823,0.831,0.000,0.824,0.831,-0.200,0.825,0.831,0.000,0.822,0.831
20071016_2105,-25.700,179.720,512.400,NS.TRO.00,69.635,18.911,134.644,1618.224,1641.472,1648.595,17.000,3.354,0.429,0.479,0.476,0.474,0.482,-1.800,3.400,0.448,0.231,1.400,0.397,0.397,0.900,0.401,0.397,0.600,0.417,0.397,0.700,0.421,0.397,0.700,0.417,0.397
20071016_2105,-25.700,179.720,512.400,CZ.PVCC.,50.528,14.569,152.678,1721.918,1763.405,1776.948,18.000,5.074,0.724,0.725,0.754,0.751,0.753,1.300,1.500,0.916,0.897,1.100,0.947,0.947,0.700,0.952,0.947,0.300,0.949,0.947,0.200,0.942,0.947,0.300,0.945,0.947
20071016_2105,-25.700,179.720,512.400,IU.KMBO.00,-1.127,37.252,134.902,1619.780,1643.251,1650.450,19.000,3.983,0.434,0.433,0.453,0.450,0.446,1.000,1.000,0.717,0.707,0.700,0.573,0.573,0.900,0.523,0.573,0.600,0.549,0.573,0.600,0.545,0.573,0.800,0.533,0.573
20071016_2105,-25.700,179.720,512.400,NO.SPA0.00,78.178,16.370,126.965,1570.848,1587.932,1593.049,20.000,8.939,0.475,0.402,0.424,0.422,0.419,1.100,1.000,0.896,0.866,0.600,0.836,0.836,0.300,0.815,0.836,-0.200,0.814,0.836,-0.100,0.813,0.836,0.100,0.814,0.836
20071016_2105,-25.700,179.720,512.400,CH.WIMIS.,46.665,7.624,158.114,1751.103,1799.015,1814.973,21.000,6.633,0.403,0.470,0.498,0.506,0.501,1.700,2.400,0.869,0.831,1.900,0.795,0.795,1.400,0.791,0.795,1.100,0.784,0.795,1.000,0.773,0.795,1.000,0.781,0.795
20071016_2105,-25.700,179.720,512.400,1M.D36.00,52.698,-6.211,152.636,1721.686,1763.124,1776.649,22.000,1.932,0.165,0.143,0.157,0.155,0.153,4.300,4.300,0.912,0.872,1.200,0.664,0.664,2.100,0.759,0.664,1.700,0.740,0.664,1.500,0.733,0.664,1.800,0.745,0.664
20071016_2105,-25.700,179.720,512.400,G.SSB.00,45.279,4.542,160.041,1761.226,1811.516,1828.374,23.000,5.062,0.601,0.603,0.626,0.638,0.632,1.300,0.800,0.923,0.860,0.900,0.869,0.869,0.600,0.859,0.869,0.400,0.867,0.869,0.100,0.874,0.869,0.300,0.869,0.869
20071016_2105,-25.700,179.720,512.400,MD.KIS.,46.998,28.817,148.665,1699.757,1736.770,1748.670,24.000,2.827,0.371,0.429,0.454,0.456,0.436,1.000,1.200,0.933,0.919,1.000,0.831,0.831,0.800,0.810,0.831,0.300,0.785,0.831,0.200,0.780,0.831,0.500,0.790,0.831
20071016_2105,-25.700,179.720,512.400,XS.S129.01,38.089,24.362,155.801,1738.796,1783.925,1798.836,25.000,1.579,0.427,0.397,0.437,0.435,0.422,0.500,0.800,0.686,0.663,0.800,0.656,0.656,1.000,0.674,0.656,0.400,0.660,0.656,0.400,0.652,0.656,0.600,0.662,0.656
20071016_2105,-25.700,179.720,512.400,XS.S033.01,38.723,23.491,156.155,1740.689,1786.238,1801.307,26.000,5.414,0.674,0.566,0.615,0.614,0.594,0.600,0.400,0.928,0.903,0.800,0.815,0.815,0.500,0.825,0.815,0.100,0.833,0.815,0.100,0.831,0.815,0.200,0.827,0.815
20071016_2105,-25.700,179.720,512.400,RO.GZR.,45.393,22.777,152.995,1723.642,1765.492,1779.170,27.000,1.242,0.209,0.285,0.326,0.333,0.322,2.600,2.700,0.916,0.926,2.200,0.781,0.781,1.500,0.802,0.781,1.200,0.814,0.781,1.000,0.819,0.781,1.200,0.812,0.781
20071016_2105,-25.700,179.720,512.400,ZE.DIGE.,12.328,40.273,139.591,1647.720,1675.469,1684.118,28.000,2.075,0.349,0.276,0.249,0.246,0.253,0.800,-2.500,0.477,-0.534,0.300,0.806,0.806,0.500,0.851,0.806,-0.100,0.835,0.806,0.100,0.845,0.806,0.100,0.845,0.806
20071016_2105,-25.700,179.720,512.400,IU.KBS.10,78.915,11.939,126.504,1567.946,1584.689,1589.700,29.000,1.866,0.425,0.441,0.428,0.434,0.436,0.600,3.800,0.470,-0.613,6.500,0.605,0.605,6.100,0.591,0.605,5.800,0.586,0.605,6.000,0.590,0.605,6.000,0.593,0.605
20071016_2105,-25.700,179.720,512.400,YL.KUZO.01,40.904,32.861,148.673,1699.798,1736.819,1748.721,30.000,5.991,0.594,0.618,0.675,0.674,0.659,1.400,1.500,0.961,0.961,1.100,0.956,0.956,0.800,0.954,0.956,0.300,0.951,0.956,0.300,0.957,0.956,0.400,0.956,0.956
20071016_2105,-25.700,179.720,512.400,YL.INSU.01,39.842,35.366,147.147,1691.231,1726.611,1737.922,31.000,4.899,0.653,0.646,0.631,0.640,0.640,0.800,0.900,0.922,0.944,0.200,0.907,0.907,-0.100,0.903,0.907,-0.600,0.890,0.907,-0.500,0.898,0.907,-0.400,0.898,0.907
20071016_2105,-25.700,179.720,512.400,OE.WTTA.,47.264,11.636,156.467,1742.358,1788.281,1803.490,32.000,6.226,0.549,0.586,0.605,0.612,0.612,0.700,0.600,0.822,0.803,0.600,0.805,0.805,0.500,0.790,0.805,0.200,0.767,0.805,0.000,0.744,0.805,0.100,0.760,0.805
20071016_2105,-25.700,179.720,512.400,GR.MOX.,50.646,11.616,153.436,1726.041,1768.400,1782.268,33.000,7.150,0.649,0.647,0.678,0.684,0.672,1.400,-4.100,0.562,-0.846,-8.600,0.466,0.466,-8.800,0.437,0.466,2.100,0.427,0.466,2.000,0.438,0.466,-9.100,0.429,0.466
