evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20110101_0957,-27.02,-63.21,586.0,PS.PATS.,6.837,158.315,135.749,1611.872,1636.319,1643.859,0.0,1.631,0.47,0.445,0.455,0.457,0.448,1.6,1.6,0.756,0.75,0.9,0.673,0.673,0.7,0.701,0.673,0.1,0.691,0.673,0.2,0.703,0.673,0.6,0.701,0.673,0,-1.0,-109.632
20110101_0957,-27.02,-63.21,586.0,HB.ZSH.00,32.25,110.217,172.258,1809.402,1876.148,1899.551,1.0,4.394,0.257,-0.117,-0.105,-0.103,-0.113,-2.1,4.0,0.632,0.298,8.0,0.751,0.751,12.6,0.504,0.751,12.6,0.511,0.751,12.6,0.514,0.751,12.6,0.508,0.751,0,-1.0,44.489
20110101_0957,-27.02,-63.21,586.0,YN.DOC.00,26.092,103.187,167.802,1787.569,1848.218,1869.134,2.0,2.749,0.089,0.213,0.215,0.214,0.212,5.5,5.0,0.752,0.771,4.7,0.689,0.689,0.9,0.678,0.689,1.2,0.719,0.689,1.2,0.708,0.689,1.0,0.688,0.689,0,-1.0,91.565
20110101_0957,-27.02,-63.21,586.0,GS.JFS.00,39.391,98.741,160.545,1750.669,1801.885,1819.114,3.0,0.4,-0.108,-0.076,-0.067,-0.061,-0.074,-7.1,-4.4,0.234,0.796,-6.3,0.257,0.257,-12.5,0.122,0.257,-12.0,0.143,0.257,-11.8,0.156,0.257,-12.3,0.129,0.257,0,-1.0,45.589
20110101_0957,-27.02,-63.21,586.0,GS.MQT.00,34.02,102.06,165.53,1776.191,1833.823,1853.534,4.0,2.019,-0.081,0.008,0.006,0.003,0.0,8.0,3.0,0.651,-0.493,-2.2,0.622,0.622,-1.5,0.695,0.622,-1.5,0.685,0.622,-1.5,0.684,0.622,-1.5,0.682,0.622,0,-1.0,56.976
20110101_0957,-27.02,-63.21,586.0,PS.TSK.,36.211,140.11,158.194,1738.356,1786.656,1802.778,5.0,2.281,0.236,0.203,0.163,0.174,0.185,-1.0,2.3,0.897,-0.95,5.6,0.533,0.533,5.7,0.595,0.533,5.3,0.538,0.533,5.3,0.545,0.533,5.4,0.56,0.533,0,-1.0,-59.082
20110101_0957,-27.02,-63.21,586.0,GS.TSS.00,34.342,106.021,168.206,1789.573,1850.764,1871.9,6.0,2.977,0.205,0.085,0.077,0.071,0.068,7.5,0.3,0.393,-0.607,0.9,0.651,0.651,6.6,0.4,0.651,6.6,0.413,0.651,6.5,0.417,0.651,6.5,0.413,0.651,0,-1.0,48.188
20110101_0957,-27.02,-63.21,586.0,GD.LTK.00,23.662,114.647,176.124,1827.856,1900.087,1925.749,7.0,5.986,0.298,0.339,0.357,0.344,0.353,-0.6,-0.6,0.713,0.657,0.6,0.702,0.702,0.4,0.828,0.702,0.3,0.81,0.702,0.4,0.772,0.702,0.4,0.779,0.702,1,0.0,152.447
20110101_0957,-27.02,-63.21,586.0,KN.CHM.,42.999,74.751,142.534,1651.84,1682.704,1692.439,8.0,2.65,0.017,-0.004,0.017,0.011,0.004,-4.6,-1.3,0.895,-0.646,3.3,0.702,0.702,4.3,0.599,0.702,4.6,0.529,0.702,4.5,0.546,0.702,4.4,0.572,0.702,0,-1.0,53.613
20110101_0957,-27.02,-63.21,586.0,ZJ.YOK.00,28.962,120.201,176.417,1829.237,1901.891,1927.728,9.0,8.387,0.405,0.526,0.508,0.514,0.521,3.2,3.4,0.72,0.723,4.5,0.661,0.661,4.3,0.584,0.661,3.9,0.484,0.661,3.9,0.498,0.661,4.0,0.541,0.661,1,1.0,-53.035
