group,ntr,evla,evlo,evdp,stla,stlo,gcarc,gcarc_std,residualp,residualp_std,residualc,residualc_std,residual1,residual1_std,residual2,residual2_std,residual3,residual3_std,residual4,residual4_std,residual5,residual5_std
0.0,13.0,-27.02,-63.21,586.0,22.43,113.714,174.588,2.721,0.523,2.153,-0.569,1.435,0.185,3.264,0.454,2.62,0.377,2.61,0.385,2.601,0.415,2.63
1.0,2.0,-27.02,-63.21,586.0,29.222,120.532,176.034,0.383,1.65,1.75,1.75,1.45,2.95,1.55,2.45,1.85,2.1,1.8,2.1,1.8,2.15,1.85
2.0,29.0,-27.02,-63.21,586.0,40.021,116.131,166.831,6.017,0.59,2.855,-0.017,1.894,0.172,4.785,1.034,4.154,1.052,4.155,1.124,4.146,1.097,4.137
3.0,11.0,-27.02,-63.21,586.0,24.57,118.186,177.171,2.4,-1.173,1.421,-0.918,1.222,-0.245,3.716,-0.145,3.357,-0.282,3.356,-0.309,3.313,-0.209,3.281
4.0,4.0,-27.02,-63.21,586.0,30.418,106.534,170.356,1.818,3.65,1.205,4.85,2.162,7.825,0.286,5.225,6.946,5.6,7.114,5.525,7.068,2.85,6.841
5.0,4.0,-27.02,-63.21,586.0,45.456,130.976,158.361,1.245,1.125,2.312,0.225,0.733,0.05,0.456,0.475,0.402,-1.9,4.186,-1.925,4.177,-2.0,4.134
6.0,15.0,-27.02,-63.21,586.0,-20.056,135.756,129.2,3.646,0.647,1.243,0.527,0.368,0.68,0.526,0.887,0.595,0.88,0.597,0.64,0.646,0.667,0.645
7.0,5.0,-27.02,-63.21,586.0,27.744,119.831,177.199,0.85,-0.68,0.286,-0.66,0.314,-0.08,0.337,-1.52,4.197,-0.72,1.222,-2.16,3.957,-1.52,4.147
8.0,14.0,-27.02,-63.21,586.0,-8.558,150.129,131.92,2.006,1.271,1.709,1.121,0.965,1.279,1.046,1.214,1.053,1.014,1.036,0.843,1.03,1.071,1.061
9.0,5.0,-27.02,-63.21,586.0,-8.974,108.766,143.059,1.688,2.16,0.931,2.1,0.919,1.42,0.76,1.4,0.693,1.32,0.679,0.86,0.634,1.04,0.68
10.0,3.0,-27.02,-63.21,586.0,-30.554,116.319,122.424,1.188,-0.267,0.34,-0.467,0.419,0.667,1.084,0.667,1.084,0.667,1.084,0.633,1.037,0.633,1.037
11.0,2.0,-27.02,-63.21,586.0,-9.196,123.252,143.236,0.72,-0.35,1.25,-0.85,0.85,-1.2,0.7,-1.15,0.85,-1.2,0.8,-1.65,0.75,-1.6,0.8
12.0,2.0,-27.02,-63.21,586.0,26.977,124.266,173.337,3.573,-0.85,0.35,-0.85,0.35,-0.1,0.2,0.15,0.15,-0.25,0.35,-0.15,0.35,0.1,0.2
13.0,2.0,-27.02,-63.21,586.0,28.874,114.784,177.436,1.251,0.5,1.2,0.15,0.95,-0.55,0.75,0.85,1.95,0.95,2.15,0.95,2.25,0.9,2.0
14.0,4.0,-27.02,-63.21,586.0,37.579,100.066,162.507,6.088,1.675,2.341,2.4,1.093,-0.05,5.963,-0.05,4.683,0.225,4.908,0.275,4.869,0.1,4.771
15.0,2.0,-27.02,-63.21,586.0,37.948,109.187,167.36,3.558,2.4,1.4,0.2,0.4,0.6,1.1,0.45,1.05,0.4,1.0,0.4,1.0,0.45,1.05
16.0,2.0,-27.02,-63.21,586.0,3.586,99.974,151.58,1.319,-1.25,1.25,0.4,0.3,1.9,3.1,2.95,3.05,3.0,3.1,2.9,3.1,3.0,3.1
17.0,2.0,-27.02,-63.21,586.0,49.773,105.348,155.616,2.195,0.6,0.2,0.5,0.1,-1.55,2.55,-2.0,2.8,-1.95,2.65,-1.9,2.6,-1.95,2.65
18.0,2.0,-27.02,-63.21,586.0,-1.546,124.38,150.48,0.873,0.95,0.95,0.3,0.2,1.1,0.4,1.35,0.65,1.35,0.65,1.0,0.7,1.05,0.65
19.0,4.0,-27.02,-63.21,586.0,29.289,119.164,176.901,1.443,0.05,2.83,-0.725,0.873,0.1,1.007,0.025,1.006,1.625,2.737,1.65,2.734,1.775,2.738
20.0,2.0,-27.02,-63.21,586.0,26.516,119.741,177.314,0.189,-0.35,0.15,-0.45,0.35,3.2,2.9,3.5,2.8,3.1,2.8,3.25,2.85,3.55,2.85
21.0,2.0,-27.02,-63.21,586.0,25.541,120.6,176.265,2.422,0.95,0.75,-1.45,1.55,1.25,0.25,1.95,0.65,1.7,0.7,1.75,0.65,2.0,0.7
