station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
NO.NC303.00,61.225,11.369,141.736,1655.483,1685.393,1694.789,0.000,0.673,0.635,0.666,0.674,0.665
IU.BBSR.00,32.371,-64.696,123.176,1542.037,1556.507,1560.816,1.000,0.013,-0.037,-0.034,-0.030,-0.032
IV.SGRT.,41.755,15.744,157.717,1744.179,1791.711,1807.532,2.000,0.499,0.542,0.572,0.581,0.575
IV.MA9.,41.770,12.659,159.117,1751.558,1800.804,1817.273,3.000,0.362,0.393,0.428,0.439,0.422
GB.BIGH.,58.493,-3.910,145.180,1675.291,1708.689,1719.302,4.000,0.676,0.695,0.705,0.708,0.710
II.KIV.10,43.955,42.686,139.773,1644.010,1672.019,1680.761,5.000,0.778,0.796,0.812,0.812,0.807
OE.KBA.,47.078,13.345,154.347,1726.153,1769.671,1783.980,6.000,0.446,0.501,0.512,0.515,0.513
NE.EMMW.,44.710,-67.458,122.265,1536.180,1550.044,1554.166,7.000,0.616,0.614,0.611,0.617,0.616
XB.PM16.,35.130,-3.695,168.224,1798.045,1859.064,1880.115,8.000,0.380,0.338,0.344,0.347,0.343
ZP.MANS.02,-11.140,28.875,135.050,1615.906,1639.587,1646.860,9.000,0.253,0.229,0.232,0.226,0.228
XB.PM37.,34.951,-3.151,168.515,1799.488,1860.900,1882.109,10.000,0.519,0.507,0.539,0.558,0.538
GB.ELSH.,51.148,1.135,152.616,1716.764,1758.278,1771.836,11.000,0.715,0.696,0.673,0.653,0.663
GE.KARP.,35.547,27.161,153.689,1722.600,1765.352,1779.373,12.000,0.418,0.412,0.415,0.414,0.415
RO.PLOR2.,45.850,26.644,149.164,1697.736,1735.389,1747.525,13.000,0.369,0.412,0.456,0.452,0.437
IV.STAL.,46.260,12.710,155.273,1731.144,1775.749,1790.468,14.000,0.553,0.635,0.665,0.679,0.669
MN.VSL.,39.496,9.378,162.367,1768.443,1821.781,1839.808,15.000,0.507,0.570,0.601,0.619,0.597
KO.SARI.,38.407,36.418,145.787,1678.742,1712.777,1723.614,16.000,0.587,0.585,0.593,0.590,0.589
CH.LIENZ.,47.294,9.492,155.274,1731.148,1775.754,1790.473,17.000,0.570,0.603,0.631,0.647,0.638
CH.MUO.,46.968,8.637,155.784,1733.884,1779.094,1794.041,18.000,0.587,0.637,0.688,0.713,0.694
XB.PS34.,38.433,-4.750,164.817,1780.954,1837.457,1856.710,19.000,0.662,0.593,0.635,0.655,0.632
GR.AHRW.,50.541,7.076,152.668,1717.050,1758.624,1772.205,20.000,0.764,0.721,0.704,0.696,0.697
KO.PHSR.,41.631,27.524,150.927,1707.504,1747.107,1759.957,21.000,0.532,0.576,0.614,0.616,0.597
IV.SALB.,39.877,16.346,158.769,1749.732,1798.550,1814.857,22.000,0.595,0.541,0.534,0.530,0.533
XB.PS21.,37.345,-4.456,165.927,1786.563,1844.521,1864.348,23.000,0.007,0.015,0.015,0.013,0.015
6H.SUSS.,-19.422,33.292,125.920,1559.512,1575.899,1580.801,24.000,0.484,0.476,0.475,0.475,0.478
IV.FDMO.,43.036,13.087,157.891,1745.096,1792.839,1808.739,25.000,0.548,0.595,0.631,0.644,0.637
