evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected
20111122_1848,-15.308,-65.163,560.3,PS.PATS.,6.837,158.315,136.58,1621.324,1646.435,1654.196,0.0,0.612,0.186,0.156,0.122,0.139,0.176,-1.6,-1.5,0.834,0.869,-2.3,0.557,0.557,-2.3,0.571,0.557,-2.9,0.653,0.557,-2.7,0.614,0.557,-1.7,0.576,0.557,0
20111122_1848,-15.308,-65.163,560.3,SC.BYD.,27.81,103.188,163.48,1770.327,1825.182,1843.8,1.0,11.012,0.263,0.263,0.261,0.259,0.261,-0.3,-0.1,0.835,0.833,-0.9,0.445,0.445,-6.5,0.514,0.445,-6.5,0.507,0.445,-6.6,0.493,0.445,-6.5,0.511,0.445,0
20111122_1848,-15.308,-65.163,560.3,GD.ZHH.,22.271,113.566,172.935,1817.232,1884.815,1908.551,2.0,7.952,0.548,0.527,0.53,0.529,0.526,4.8,1.7,0.677,-0.298,-3.7,0.715,0.715,-3.1,0.66,0.715,-3.2,0.66,0.715,-3.4,0.663,0.715,-3.3,0.656,0.715,0
20111122_1848,-15.308,-65.163,560.3,PS.TSK.,36.211,140.11,149.283,1694.605,1732.466,1744.682,3.0,1.455,0.181,0.153,0.148,0.155,0.134,7.9,-1.5,0.571,-0.652,-6.3,0.511,0.511,7.8,0.51,0.511,7.6,0.505,0.511,7.5,0.5,0.511,7.4,0.503,0.511,0
20111122_1848,-15.308,-65.163,560.3,QH.LJX.,35.993,101.839,156.283,1732.748,1778.635,1793.841,4.0,4.852,0.718,0.748,0.729,0.73,0.744,0.4,0.5,0.917,0.929,0.2,0.827,0.827,0.3,0.834,0.827,0.0,0.819,0.827,-0.1,0.804,0.827,0.2,0.831,0.827,1
20111122_1848,-15.308,-65.163,560.3,KN.CHM.,42.999,74.751,136.035,1618.061,1642.681,1650.275,5.0,6.411,0.474,0.335,0.364,0.369,0.329,0.8,0.8,0.811,0.827,9.7,0.352,0.352,-6.0,0.416,0.352,-6.5,0.425,0.352,-6.5,0.43,0.352,-5.9,0.419,0.352,0
20111122_1848,-15.308,-65.163,560.3,JL.SYZT.,43.539,125.674,150.294,1700.215,1739.191,1751.815,6.0,1.603,0.361,0.334,0.348,0.367,0.359,0.6,0.5,0.523,0.632,0.2,0.347,0.347,0.9,0.505,0.347,0.8,0.518,0.347,0.4,0.521,0.347,0.7,0.523,0.347,0
20111122_1848,-15.308,-65.163,560.3,GE.MNAI.,-4.36,102.956,157.08,1736.993,1783.837,1799.403,7.0,1.242,0.161,0.177,0.162,0.138,0.176,8.4,4.5,0.553,-0.866,6.6,0.568,0.568,6.8,0.534,0.568,6.9,0.597,0.568,6.6,0.684,0.568,6.9,0.547,0.568,0
20111122_1848,-15.308,-65.163,560.3,SC.JLI.,28.179,104.516,163.97,1772.83,1828.32,1847.183,8.0,23.747,0.302,0.342,0.327,0.312,0.338,-0.6,-0.6,0.922,0.904,4.7,0.809,0.809,5.1,0.782,0.809,5.2,0.76,0.809,5.2,0.737,0.809,5.1,0.783,0.809,0
20111122_1848,-15.308,-65.163,560.3,BJ.MIY.,40.467,116.833,154.782,1724.696,1768.804,1783.341,9.0,1.309,0.405,0.353,0.361,0.364,0.356,1.4,-1.5,0.586,-0.728,0.8,0.522,0.522,1.6,0.586,0.522,1.5,0.561,0.522,1.3,0.488,0.522,1.6,0.57,0.522,0
