evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20200706_2254,-5.69,110.55,535.0,LD.PAL.,41.006,-73.908,144.46,1671.9,1704.538,1714.884,0.0,4.037,0.747,0.767,0.774,0.756,0.75,0.4,0.2,0.926,0.928,-0.6,0.936,0.936,-0.5,0.931,0.936,-0.6,0.93,0.936,-0.9,0.932,0.936,-0.9,0.932,0.936,1,0.0,5.748
20200706_2254,-5.69,110.55,535.0,CC.ASBU.,43.821,-121.368,120.762,1527.168,1540.055,1543.879,1.0,3.391,0.508,0.36,0.381,0.399,0.401,1.1,-4.1,0.689,-0.377,-0.1,0.423,0.423,2.5,0.476,0.423,3.1,0.455,0.423,3.0,0.49,0.423,2.9,0.497,0.423,0,-1.0,41.371
20200706_2254,-5.69,110.55,535.0,CI.FOX2.,34.734,-118.24,126.53,1564.072,1580.893,1585.931,2.0,4.767,0.522,0.57,0.56,0.561,0.562,-0.2,0.2,0.823,0.933,-0.1,0.662,0.662,0.1,0.675,0.662,-0.1,0.659,0.662,0.0,0.663,0.662,0.0,0.659,0.662,1,1.0,50.272
20200706_2254,-5.69,110.55,535.0,CI.BRE.,33.808,-117.981,127.063,1567.427,1584.644,1589.805,3.0,1.337,0.192,0.204,0.197,0.189,0.192,1.3,4.6,0.46,-0.676,1.0,0.393,0.393,1.2,0.449,0.393,0.9,0.437,0.393,1.2,0.448,0.393,1.1,0.45,0.393,0,-1.0,51.252
20200706_2254,-5.69,110.55,535.0,CI.BC3.,33.655,-115.454,129.071,1579.983,1598.73,1604.373,4.0,2.681,0.549,0.582,0.577,0.578,0.581,-0.8,-1.0,0.872,0.847,-0.9,0.598,0.598,-0.5,0.594,0.598,-0.8,0.585,0.598,-0.7,0.59,0.598,-0.6,0.586,0.598,1,1.0,50.425
20200706_2254,-5.69,110.55,535.0,BK.BONV.00,38.987,-123.349,121.206,1530.044,1543.213,1547.122,5.0,1.857,0.446,0.395,0.389,0.406,0.402,-0.1,-0.7,0.569,0.377,-0.8,0.585,0.585,-0.1,0.677,0.585,-0.5,0.636,0.585,-0.1,0.67,0.585,-0.2,0.662,0.585,0,-1.0,47.248
20200706_2254,-5.69,110.55,535.0,CI.CTW.,33.677,-115.872,128.741,1577.927,1596.42,1601.981,6.0,4.735,0.422,0.473,0.453,0.459,0.459,-1.8,-2.7,0.826,0.811,-2.7,0.473,0.473,-2.3,0.491,0.473,-2.6,0.504,0.473,-2.4,0.502,0.473,-2.5,0.495,0.473,0,-1.0,50.574
20200706_2254,-5.69,110.55,535.0,BK.RBOW.00,40.335,-124.111,120.193,1523.467,1535.998,1539.713,7.0,1.373,0.144,0.183,0.181,0.18,0.18,8.4,4.1,0.573,-0.533,-8.6,0.37,0.37,-7.6,0.365,0.37,-8.1,0.343,0.37,-7.7,0.344,0.37,-7.8,0.346,0.37,0,-1.0,46.013
20200706_2254,-5.69,110.55,535.0,BK.KARE.00,36.597,-119.504,124.893,1553.713,1569.356,1574.026,8.0,3.668,0.508,0.502,0.489,0.49,0.49,-1.0,-1.5,0.799,0.769,-0.7,0.48,0.48,-0.1,0.473,0.48,-0.9,0.459,0.48,-0.6,0.471,0.48,-0.6,0.463,0.48,0,-1.0,48.607
20200706_2254,-5.69,110.55,535.0,MX.HPIG.,26.937,-105.664,139.522,1643.244,1671.0,1679.655,9.0,6.261,0.612,0.571,0.613,0.607,0.596,1.4,0.7,0.747,0.551,0.5,0.822,0.822,0.3,0.833,0.822,0.0,0.836,0.822,0.0,0.833,0.822,0.1,0.832,0.822,1,1.0,54.097
20200706_2254,-5.69,110.55,535.0,PY.BPH05.,33.612,-116.455,128.316,1575.276,1593.442,1598.9,10.0,5.345,0.462,0.499,0.492,0.492,0.495,-1.0,-1.1,0.87,0.847,-1.6,0.354,0.354,-1.2,0.392,0.354,-1.5,0.392,0.354,-1.3,0.396,0.354,-1.3,0.388,0.354,0,-1.0,50.888
20200706_2254,-5.69,110.55,535.0,PR.EMPR.,18.477,-66.529,166.899,1792.169,1851.399,1871.73,11.0,1.363,0.168,0.168,0.162,0.163,0.165,-6.1,-2.4,0.83,-0.794,-6.0,0.571,0.571,1.6,0.535,0.571,-7.2,0.516,0.571,-7.3,0.549,0.571,-7.3,0.543,0.571,0,-1.0,-11.882
20200706_2254,-5.69,110.55,535.0,CX.PB11.,-19.761,-69.656,154.548,1727.961,1771.699,1786.09,12.0,2.924,0.296,0.268,0.271,0.272,0.269,2.0,1.4,0.822,0.764,1.4,0.585,0.585,1.4,0.76,0.585,1.3,0.754,0.585,1.0,0.729,0.585,1.0,0.738,0.585,0,-1.0,179.556
20200706_2254,-5.69,110.55,535.0,BK.BABI.00,36.516,-120.853,123.911,1547.449,1562.409,1566.868,13.0,0.347,0.021,-0.007,-0.005,-0.004,-0.004,10.6,-2.0,0.35,-1.0,-8.6,0.515,0.515,-8.4,0.596,0.515,-8.7,0.578,0.515,-8.5,0.584,0.515,-8.4,0.584,0.515,0,-1.0,49.176
20200706_2254,-5.69,110.55,535.0,C1.MT18.,-33.463,-70.664,140.83,1650.916,1679.926,1689.011,14.0,1.182,0.069,0.095,0.089,0.069,0.075,7.0,3.7,0.724,-0.594,6.6,0.58,0.58,6.1,0.658,0.58,6.1,0.652,0.58,5.6,0.612,0.58,5.6,0.619,0.58,0,-1.0,178.408
20200706_2254,-5.69,110.55,535.0,YB.MOJO.00,34.756,-115.833,128.352,1575.498,1593.69,1599.157,15.0,0.498,0.113,0.163,0.165,0.162,0.162,9.4,-1.2,0.494,-0.054,0.1,0.609,0.609,0.5,0.578,0.609,0.2,0.605,0.609,0.3,0.598,0.609,0.3,0.593,0.609,0,-1.0,49.288
20200706_2254,-5.69,110.55,535.0,C1.VA01.,-33.023,-71.648,141.231,1653.256,1682.656,1691.876,16.0,1.317,0.195,0.291,0.296,0.297,0.29,2.9,-3.9,0.438,-0.788,-0.6,0.822,0.822,-1.0,0.582,0.822,-1.0,0.579,0.822,-1.4,0.546,0.822,-1.4,0.552,0.822,0,-1.0,177.079
20200706_2254,-5.69,110.55,535.0,C1.AC01.,-26.148,-70.599,148.143,1692.745,1729.273,1741.001,17.0,1.221,0.149,0.148,0.15,0.172,0.165,-2.6,-3.0,0.537,0.643,-4.1,0.639,0.639,3.4,0.628,0.639,-3.8,0.624,0.639,-4.2,0.628,0.639,-4.2,0.63,0.639,0,-1.0,178.068
20200706_2254,-5.69,110.55,535.0,GE.BOAB.,12.449,-85.666,162.629,1770.512,1824.17,1842.319,18.0,4.497,0.693,0.654,0.63,0.637,0.647,0.4,0.4,0.957,0.956,0.0,0.82,0.82,0.1,0.795,0.82,-0.5,0.762,0.82,-0.4,0.772,0.82,-0.1,0.785,0.82,1,2.0,65.44
20200706_2254,-5.69,110.55,535.0,C1.BO01.,-34.392,-71.085,139.889,1645.401,1673.506,1682.28,19.0,0.364,-0.042,0.021,0.02,0.017,0.018,2.5,2.7,0.737,0.379,-4.3,0.369,0.369,-2.4,0.207,0.369,-2.5,0.206,0.369,-2.8,0.19,0.369,-2.8,0.192,0.369,0,-1.0,177.92
20200706_2254,-5.69,110.55,535.0,CX.PB18.,-17.59,-69.48,156.72,1739.606,1785.918,1801.279,20.0,1.628,0.387,0.207,0.216,0.24,0.229,1.4,-3.8,0.662,-0.462,-0.1,0.619,0.619,-7.8,0.457,0.619,-7.8,0.457,0.619,-8.2,0.443,0.619,-8.2,0.446,0.619,0,-1.0,179.929
20200706_2254,-5.69,110.55,535.0,CM.HEL.00,6.191,-75.529,173.933,1826.588,1895.471,1919.732,21.0,2.837,0.484,0.438,0.379,0.415,0.438,-0.7,-0.7,0.847,0.633,-0.1,0.787,0.787,-0.5,0.83,0.787,-1.1,0.855,0.787,-0.9,0.852,0.787,-0.4,0.83,0.787,1,3.0,84.504
20200706_2254,-5.69,110.55,535.0,CI.CLT.,34.093,-117.317,127.473,1570.004,1587.528,1592.785,22.0,3.077,0.373,0.318,0.33,0.328,0.33,-1.2,-1.7,0.492,0.448,2.8,0.311,0.311,2.7,0.316,0.311,2.4,0.336,0.311,2.6,0.336,0.311,2.7,0.328,0.311,0,-1.0,50.664
20200706_2254,-5.69,110.55,535.0,Y4.VB04.,-39.378,-71.935,134.873,1615.553,1639.068,1646.284,23.0,1.58,0.32,0.339,0.34,0.343,0.342,2.5,2.5,0.973,0.955,2.2,0.375,0.375,2.0,0.427,0.375,1.9,0.428,0.375,1.7,0.427,0.375,1.7,0.43,0.375,0,-1.0,177.303
20200706_2254,-5.69,110.55,535.0,LD.FOR.,40.86,-73.885,144.606,1672.736,1705.526,1715.924,24.0,4.279,0.683,0.71,0.715,0.701,0.697,0.6,0.6,0.951,0.936,-0.4,0.881,0.881,-0.4,0.871,0.881,-0.4,0.868,0.881,-0.7,0.866,0.881,-0.8,0.866,0.881,1,0.0,5.752
20200706_2254,-5.69,110.55,535.0,CI.FMP.,33.713,-118.294,126.854,1566.11,1583.171,1588.283,25.0,3.07,0.385,0.446,0.446,0.439,0.435,-0.7,4.8,0.644,-0.655,1.1,0.614,0.614,1.3,0.664,0.614,1.0,0.657,0.614,1.2,0.66,0.614,1.3,0.661,0.614,1,1.0,51.48
20200706_2254,-5.69,110.55,535.0,OH.O53A.,40.249,-81.213,143.861,1668.469,1700.494,1710.626,26.0,6.525,0.763,0.755,0.763,0.782,0.782,1.0,1.0,0.964,0.96,0.4,0.874,0.874,0.5,0.883,0.874,0.5,0.881,0.874,0.1,0.881,0.874,0.1,0.882,0.874,1,0.0,15.193
20200706_2254,-5.69,110.55,535.0,CX.PSGCX.,-19.597,-70.123,154.704,1728.801,1772.722,1787.182,27.0,1.583,0.371,0.335,0.342,0.348,0.345,1.0,0.2,0.81,0.689,-0.6,0.47,0.47,0.4,0.593,0.47,0.4,0.587,0.47,-0.1,0.545,0.47,-0.1,0.562,0.47,0,-1.0,178.54
20200706_2254,-5.69,110.55,535.0,C.GO06.,-39.584,-71.472,134.688,1614.432,1637.786,1644.947,28.0,1.696,0.236,0.319,0.313,0.321,0.316,2.2,2.2,0.653,0.642,1.5,0.557,0.557,1.7,0.555,0.557,1.6,0.551,0.557,1.1,0.574,0.557,1.2,0.568,0.557,0,-1.0,177.819
20200706_2254,-5.69,110.55,535.0,CI.ALP.,34.687,-118.299,126.502,1563.894,1580.695,1585.726,29.0,4.423,0.489,0.554,0.532,0.533,0.538,-0.7,-0.4,0.877,0.936,-0.3,0.68,0.68,-0.1,0.693,0.68,-0.4,0.673,0.68,-0.2,0.684,0.68,-0.2,0.678,0.68,1,1.0,50.348
20200706_2254,-5.69,110.55,535.0,CM.URI.00,11.702,-71.993,173.484,1824.437,1892.685,1916.687,30.0,7.073,0.445,0.466,0.446,0.414,0.413,-0.8,-0.6,0.768,0.699,0.5,0.566,0.566,0.3,0.844,0.566,0.2,0.803,0.566,-0.2,0.742,0.566,-0.1,0.751,0.566,1,-1.0,20.913
20200706_2254,-5.69,110.55,535.0,CI.BLY.,33.75,-114.524,129.745,1584.169,1603.441,1609.252,31.0,11.493,0.596,0.611,0.593,0.594,0.601,-1.2,-0.5,0.853,0.817,-1.1,0.691,0.691,-0.7,0.644,0.691,-1.0,0.638,0.691,-0.9,0.637,0.691,-0.9,0.637,0.691,1,1.0,49.913
20200706_2254,-5.69,110.55,535.0,BK.BJES.00,40.544,-123.88,120.285,1524.071,1536.66,1540.393,32.0,0.0,,,,,,-16.0,-8.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,0.0,0.0,0,-1.0,45.715
