,group,ntr,evla,evlo,evdp,stla,stlo,gcarc,gcarc_std,residualp,residualp_std,residualc,residualc_std,residual1,residual1_std,residual2,residual2_std,residual3,residual3_std,residual4,residual4_std,residual5,residual5_std
0,0.0,23.0,6.9,123.85,579.7,38.432,-82.08,128.192,2.237,0.709,0.758,0.443,0.32,-0.178,0.398,0.043,0.413,-0.043,0.436,-0.209,0.476,-0.196,0.45
1,0.0,84.0,-15.308,-65.163,560.3,36.53,104.956,156.529,6.536,0.401,0.603,0.217,0.459,-0.06,0.509,0.09,0.454,-0.083,0.454,-0.325,0.464,0.033,0.453
2,1.0,5.0,-15.308,-65.163,560.3,43.055,125.356,150.83,1.58,-0.06,1.509,0.62,0.417,-0.08,0.421,0.24,0.432,0.1,0.434,-0.2,0.46,0.02,0.449
3,0.0,8.0,6.69,123.41,614.0,31.841,-98.584,124.443,1.138,0.825,0.367,0.7,0.453,0.275,0.405,0.288,0.382,0.125,0.396,0.162,0.387,0.137,0.371
4,0.0,21.0,-24.67,179.12,529.6,-21.291,24.183,127.968,2.245,0.776,0.738,0.667,0.777,0.0,0.682,0.081,0.645,0.029,0.653,-0.162,0.611,-0.038,0.635
5,1.0,10.0,-24.67,179.12,529.6,-11.12,33.704,130.721,2.449,0.91,0.281,0.86,0.273,0.11,0.295,0.12,0.376,-0.04,0.323,-0.13,0.374,0.0,0.377
6,0.0,28.0,-25.7,179.72,512.4,40.052,32.916,148.939,4.441,0.832,0.269,0.721,0.255,0.457,0.353,0.2,0.436,-0.382,0.448,-0.314,0.416,-0.118,0.413
7,1.0,49.0,-25.7,179.72,512.4,50.79,15.282,152.108,5.598,1.065,0.788,0.998,0.537,0.696,0.571,0.42,0.494,0.116,0.47,-0.055,0.49,0.059,0.512
8,3.0,3.0,-25.7,179.72,512.4,52.879,62.503,126.391,2.71,1.6,1.558,0.367,0.125,0.0,0.374,-0.067,0.368,-0.433,0.309,-0.167,0.287,-0.1,0.327
9,4.0,2.0,-25.7,179.72,512.4,31.239,35.226,148.42,0.19,1.3,0.1,1.2,0.0,0.85,0.05,0.65,0.05,-0.1,0.1,0.1,0.1,0.3,0.1
10,0.0,3.0,-21.31,174.38,532.3,-21.681,26.071,127.019,0.59,1.267,0.419,0.967,0.419,0.7,0.356,0.733,0.403,0.633,0.403,0.567,0.377,0.633,0.403
11,1.0,2.0,-21.31,174.38,532.3,-2.482,29.337,138.334,0.592,0.7,0.0,0.4,0.3,0.05,0.05,0.4,0.0,0.05,0.05,0.0,0.0,0.15,0.05
12,3.0,3.0,-21.31,174.38,532.3,48.317,9.491,150.312,1.48,1.567,0.741,1.8,0.572,1.1,0.616,0.667,0.741,0.433,0.759,0.2,0.748,0.3,0.748
13,0.0,19.0,53.2,152.81,585.5,-78.42,2.284,137.631,7.306,0.195,0.959,0.274,0.504,0.042,0.431,0.163,0.453,-0.363,0.449,-0.174,0.44,0.074,0.447
14,2.0,2.0,53.2,152.81,585.5,-71.456,-6.252,159.538,0.833,0.25,0.15,0.1,0.2,-0.15,0.45,0.0,0.0,-0.45,0.15,-0.5,0.2,-0.35,0.15
15,0.0,3.0,-24.88,-63.54,572.3,53.117,70.2,135.473,0.49,-0.967,0.368,-0.867,0.262,-0.767,0.309,-0.6,0.216,-1.1,0.216,-0.967,0.236,-0.867,0.236
